Parcelle,n_cep,symptomes,date,picture_name,position_cm,position_organ,position_organ_2,symptom,organ+symptomes,total_perimeter_cm,dysfunctional_perimeter_cm_1,dysfunctional_perimeter_cm_2,dysfunctional_perimeter_cm_3,dysfunctional_perimeter_cm_4,necrotic_perimeter_1,necrotic_perimeter_2,necrotic_perimeter_3,necrotic_perimeter_4,necrotic_perimeter_5,Total_dysfunctional_perimeter,Total_necrotic_perimeter,Share_dysfunctional_perimeter,Share_necrotic_perimeter,Principal,Second,Third,Fourth,comment
III-5,69-81,ES2/4,29/7/21,U3,"5,5",arm,U_arm,S,arm_S,"6,073","3,828",99,136,,,,,,,"4,06",0,"66,902,684",0,"630,330,973","13,009,198","17,871,222",0,
III-5,69-81,ES2/4,29/7/21,U4,8,arm,U_arm,S,arm_S,"6,638","3,252",177,,,,,,,,"3,43",0,"516,571,256",0,"489,906,598","2,325,887",0,0,coloration rose  très peu large et intense
III-5,71-55,ES1,28/7/21,D00,0,arm,D_arm,S,arm_S,"5,368",,,,,626,,,,,"0,00",626,0,"11,661,699",0,0,0,0,
III-5,71-55,ES1,28/7/21,D01,1,arm,D_arm,S,arm_S,"7,752",470,529,,,,,,,,"1,00",0,"128,869,969",0,"60,629,515","69,513,798",0,0,la troisième zone est peut etre une nécrose
III-5,71-55,ES1,28/7/21,D02,3,arm,D_arm,S,arm_S,"9,886","2,023",106,,,365,635,,,,"2,13",1,"239,590,367","101,153,146","22,766,149","13,929,041",0,0,
III-5,71-55,ES1,28/7/21,D03,"4,5",arm,D_arm,S,arm_S,"6,942",667,,,,,,,,,"0,67",0,"96,081,821",0,"96,081,821",0,0,0,
III-5,71-55,ES1,28/7/21,D04,"6,5",arm,D_arm,S,arm_S,"6,311",618,79,,,,,,,,"0,70",0,"110,442,085",0,"97,924,259","10,381,078",0,0,
III-5,71-55,ES1,28/7/21,D05,"8,5",arm,D_arm,S,arm_S,"6,391",715,,,,,,,,,"0,72",0,"111,876,076",0,"111,876,076",0,0,0,
III-5,71-55,ES1,28/7/21,D06,"10,5",arm,D_arm,S,arm_S,"7,605","1,421",,,,475,,,,,"1,42",475,"199,298,738","62,458,909","199,298,738",0,0,0,
III-5,71-55,ES1,28/7/21,D07,13,arm,D_arm,S,arm_S,"6,364",553,,,,,,,,,"0,55",0,"86,895,035",0,"86,895,035",0,0,0,
III-5,71-55,ES1,28/7/21,D08,14,arm,D_arm,S,arm_S,"6,968",546,,,,,,,,,"0,55",0,"78,358,209",0,"78,358,209",0,0,0,
III-5,71-55,ES1,28/7/21,D09,"16,5",transition,transition,transition,transition,"6,546",547,,,,,,,,,"0,55",0,"83,562,481",0,"83,562,481",0,0,0,deux bras entiers sont présent sur la coupe. Seul le bras principale a été mesuré.
III-5,71-55,ES1,28/7/21,D10,"18,5",transition,transition,transition,transition,"10,344",833,,,,329,531,,,,"0,83","0,86","87,832,138","83,139,985","87,832,138",0,0,0,la coupe se trouve à l ajonction des deux bras. Les deux bras on été mesuré comme un seul. Il est possible de les diférencier
III-5,71-55,ES1,28/7/21,D11,"20,5",trunk,trunk,S,trunk_S,"11,329",908,,,,893,,,,,"0,91",893,"87,006,516","78,824,256","87,006,516",0,0,0,
III-5,71-55,ES1,28/7/21,D12,"22,5",trunk,trunk,S,trunk_S,"8,578",433,,,,,,,,,"0,43",0,"50,477,967",0,"50,477,967",0,0,0,
III-5,71-55,ES1,28/7/21,D13,"24,5",trunk,trunk,S,trunk_S,"8,216",340,,,,,,,,,"0,34",0,"41,382,668",0,"41,382,668",0,0,0,
III-5,71-55,ES1,28/7/21,D14,26,trunk,trunk,S,trunk_S,"8,832",412,,,,"1,806",,,,,"0,41","1,806","5,863,934","204,483,696","5,863,934",0,0,0,
III-5,71-55,ES1,28/7/21,D15,"28,5",trunk,trunk,S,trunk_S,"8,737",460,,,,"2,082",,,,,"0,46","2,082","69,120,962","238,296,898","69,120,962",0,0,0,
III-5,71-55,ES1,28/7/21,D16,30,trunk,trunk,S,trunk_S,"9,813",454,,,,"2,166",,,,,"0,45","2,166","59,369,687","220,727,606","59,369,687",0,0,0,
III-5,71-55,ES1,28/7/21,D17,32,trunk,trunk,S,trunk_S,"15,959",789,,,,"7,311",643,,,,"0,79","7,954","98,563,398","498,402,156","98,563,398",0,0,0,
III-5,71-55,ES1,28/7/21,D18,"33,5",trunk,trunk,S,trunk_S,"13,823",777,,,,"5,667",,,,,"0,78","5,667","95,267,288","409,968,892","95,267,288",0,0,0,grosse necrose
III-5,71-55,ES1,28/7/21,D19,"35,5",trunk,trunk,S,trunk_S,"13,694",557,,,,"5,091",,,,,"0,56","5,091","64,744,856","371,768,658","64,744,856",0,0,0,grosse necrose
III-5,71-55,ES1,28/7/21,D20,37,trunk,trunk,S,trunk_S,"12,503",670,,,,"3,583",,,,,"0,67","3,583","75,112,108","286,571,223","75,112,108",0,0,0,grosse necrose
III-5,71-55,ES1,28/7/21,D21,"38,5",trunk,trunk,S,trunk_S,"11,617",584,,,,"3,441",,,,,"0,58","3,441","71,428,571","296,203,839","71,428,571",0,0,0,
III-5,71-55,ES1,28/7/21,D22,40,trunk,trunk,S,trunk_S,"13,458",449,,,,"2,766",,,,,"0,45","2,766","41,994,014","20,552,831","41,994,014",0,0,0,
III-5,71-55,ES1,28/7/21,D23,"41,5",GU,GU,S,trunk_S,"16,665",732,,,,"2,562","3,863",,,,"0,73","6,425","71,484,375","385,538,554","71,484,375",0,0,0,
